metodo,execucao,valor,peso,tempo_ms,tam_populacao,geracoes,tx_mutacao,tx_crossover,torneio_k
Guloso,1,1018.0,493.0,0.07269997149705887,,,,,
AG Original,1,1026.0,500.0,54.46529993787408,50,100,0.05,0.8,3
AG Original,2,1017.0,500.0,67.07479991018772,50,100,0.05,0.8,3
AG Original,3,1024.0,500.0,48.34059998393059,50,100,0.05,0.8,3
AG Original,4,1021.0,500.0,46.18429997935891,50,100,0.05,0.8,3
AG Original,5,1012.0,500.0,44.983399915508926,50,100,0.05,0.8,3
AG Original,6,1017.0,500.0,45.7033000420779,50,100,0.05,0.8,3
AG Original,7,1013.0,500.0,45.84629996679723,50,100,0.05,0.8,3
AG Original,8,1021.0,500.0,52.17619996983558,50,100,0.05,0.8,3
AG Original,9,1020.0,499.0,47.88890003692359,50,100,0.05,0.8,3
AG Original,10,1015.0,500.0,47.948500025086105,50,100,0.05,0.8,3
AG Original,11,1016.0,499.0,46.09720001462847,50,100,0.05,0.8,3
AG Original,12,1017.0,499.0,47.2366000758484,50,100,0.05,0.8,3
AG Original,13,1013.0,500.0,46.287499950267375,50,100,0.05,0.8,3
AG Original,14,1019.0,499.0,46.38149996753782,50,100,0.05,0.8,3
AG Original,15,1006.0,497.0,48.70329995173961,50,100,0.05,0.8,3
AG Original,16,1012.0,500.0,45.94430001452565,50,100,0.05,0.8,3
AG Original,17,1016.0,498.0,44.32540002744645,50,100,0.05,0.8,3
AG Original,18,1011.0,499.0,46.068200026638806,50,100,0.05,0.8,3
AG Original,19,1015.0,498.0,46.27289995551109,50,100,0.05,0.8,3
AG Original,20,1015.0,499.0,47.054899972863495,50,100,0.05,0.8,3
AG Original,21,1017.0,500.0,46.7079000081867,50,100,0.05,0.8,3
AG Original,22,1010.0,499.0,47.85900004208088,50,100,0.05,0.8,3
AG Original,23,1017.0,500.0,46.48870008531958,50,100,0.05,0.8,3
AG Original,24,1020.0,499.0,60.392400017008185,50,100,0.05,0.8,3
AG Original,25,1028.0,500.0,57.86129995249212,50,100,0.05,0.8,3
AG Original,26,1019.0,497.0,45.06879998371005,50,100,0.05,0.8,3
AG Original,27,1013.0,499.0,47.616199939511716,50,100,0.05,0.8,3
AG Original,28,1018.0,498.0,45.2754000434652,50,100,0.05,0.8,3
AG Original,29,1020.0,500.0,47.80279996339232,50,100,0.05,0.8,3
AG Original,30,1017.0,499.0,46.3840999873355,50,100,0.05,0.8,3
AG Otimizado,1,1031.0,500.0,281.98309999424964,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,2,1027.0,500.0,284.5097999088466,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,3,1028.0,499.0,285.971499979496,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,4,1027.0,500.0,281.8488999037072,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,5,1028.0,500.0,281.55400010291487,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,6,1023.0,500.0,277.44360000360757,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,7,1027.0,500.0,276.28550003282726,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,8,1027.0,500.0,275.2831999678165,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,9,1028.0,500.0,279.14190001320094,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,10,1028.0,500.0,274.0326999919489,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,11,1028.0,500.0,274.4073999347165,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,12,1028.0,500.0,275.63930000178516,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,13,1028.0,500.0,281.9307000609115,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,14,1031.0,500.0,284.2897999798879,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,15,1027.0,500.0,278.6413999274373,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,16,1029.0,499.0,277.62019995134324,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,17,1027.0,500.0,277.8793000616133,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,18,1031.0,500.0,277.8474000515416,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,19,1026.0,500.0,275.82430001348257,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,20,1028.0,500.0,279.34419992379844,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,21,1026.0,500.0,278.35040003992617,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,22,1028.0,498.0,279.28340004291385,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,23,1026.0,500.0,273.16219999920577,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,24,1025.0,500.0,275.8937000762671,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,25,1026.0,499.0,281.7762999329716,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,26,1028.0,500.0,281.12999990116805,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,27,1027.0,500.0,275.95619997009635,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,28,1027.0,500.0,277.4936000350863,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,29,1027.0,500.0,275.27620003093034,110,250,0.04912570414720041,0.8185280449452739,6
AG Otimizado,30,1028.0,500.0,278.0367999803275,110,250,0.04912570414720041,0.8185280449452739,6
